Date,MARKET,UNH,GS,HD,AMGN,MCD,MSFT,V,CAT,HON,TRV,CVX,JNJ,CRM,AAPL,AXP,BA,WMT,PG,IBM,MMM,JPM,DIS,MRK,NKE,KO,DOW,CSCO,VZ,WBA,INTC
2016-01-04,2012.6600341796875,105.13092803955078,156.67999267578125,112.15300750732422,130.35076904296875,99.3498306274414,49.26914978027344,72.35227966308594,56.383399963378906,85.15308380126953,93.96434020996094,66.21189880371094,83.98705291748047,76.70999908447266,24.151493072509766,60.76801681518555,126.00508880615234,53.333473205566406,64.66645812988281,95.96858215332031,119.4075927734375,52.61745834350586,97.15577697753906,40.549842834472656,57.27492141723633,34.12868118286133,,21.34494972229004,33.31433868408203,67.51934051513672,28.234180450439453
2016-01-05,2016.7099609375,105.32949829101562,153.98223876953125,111.60535430908203,130.2108612060547,100.71866607666016,49.49391555786133,72.89707946777344,55.79460525512695,85.85044860839844,94.39155578613281,66.77825164794922,84.338134765625,77.05000305175781,23.54627799987793,59.83299255371094,126.51630401611328,54.60042190551758,64.87274932861328,95.89798736572266,119.92811584472656,52.70843505859375,95.19342803955078,41.06752395629883,58.075584411621094,34.249412536621094,,21.24795913696289,33.77190399169922,65.74697875976562,28.101274490356445
2016-01-06,1990.260009765625,104.2552490234375,150.2230987548828,110.45018005371094,129.01715087890625,100.0427017211914,48.5948486328125,71.94129180908203,54.91556930541992,84.87914276123047,93.16969299316406,64.14021301269531,83.91181182861328,76.29000091552734,23.085477828979492,58.171451568603516,124.50741577148438,55.14711380004883,64.24563598632812,95.41795349121094,117.51262664794922,51.94753646850586,94.6839599609375,40.50347900390625,57.24699783325195,34.06428909301758,,21.021663665771484,33.46678924560547,64.7388916015625,27.4782772064209
2016-01-07,1943.0899658203125,101.18599700927734,145.60601806640625,107.30132293701172,125.938232421875,97.72752380371094,46.90458679199219,70.52674865722656,53.0247802734375,82.38025665283203,90.94813537597656,61.86732482910156,82.9338607788086,74.30000305175781,22.11117172241211,57.64772415161133,119.28783416748047,56.43143081665039,63.68455123901367,93.78731536865234,114.64982604980469,49.84682083129883,93.87258911132812,40.14805603027344,55.72016143798828,33.500831604003906,,20.536733627319336,33.282989501953125,65.99089050292969,26.44825553894043
2016-01-08,1922.030029296875,99.44374084472656,145.0045928955078,106.01782989501953,124.06956481933594,97.57545471191406,47.04844284057617,69.65699005126953,52.48573684692383,81.71607971191406,90.56361389160156,61.2040901184082,82.04785919189453,73.2300033569336,22.228084564208984,57.45808792114258,116.57939147949219,55.13844299316406,62.68611526489258,92.91903686523438,114.25940704345703,48.73029327392578,93.63673400878906,39.468101501464844,54.80778503417969,33.412296295166016,,20.02756118774414,32.959503173828125,65.89334869384766,26.17413902282715
2016-01-11,1923.6700439453125,98.92015838623047,146.5878448486328,107.62647247314453,121.5833740234375,98.59783172607422,47.0214729309082,70.65101623535156,50.97643280029297,81.70779418945312,91.2471694946289,60.19058609008789,81.55469512939453,73.18000030517578,22.588008880615234,57.83735656738281,116.77669525146484,55.728519439697266,63.26370620727539,94.04852294921875,114.23505401611328,48.65584945678711,94.26884460449219,39.59945297241211,55.44086837768555,33.468650817871094,,20.423585891723633,33.1506462097168,65.8689193725586,26.63100242614746
2016-01-12,1938.6800537109375,101.33946990966797,146.5701904296875,109.08968353271484,124.1353759765625,99.23155975341797,47.453033447265625,71.45384216308594,51.0842399597168,82.33042907714844,92.26397705078125,61.218990325927734,82.11475372314453,74.45999908447266,22.91583824157715,58.15340042114258,118.31028747558594,55.20785903930664,63.131690979003906,93.8155517578125,114.56037139892578,48.763370513916016,95.72172546386719,39.9935188293457,55.8039436340332,33.90330505371094,,20.488239288330078,33.033016204833984,66.51934814453125,27.146015167236328
2016-01-13,1890.280029296875,98.60423278808594,140.6263427734375,103.87864685058594,119.74757385253906,97.27124786376953,46.4280891418457,69.86726379394531,50.49544906616211,80.61194610595703,90.62342834472656,60.60791778564453,81.0949935913086,72.3499984741211,22.326663970947266,56.753746032714844,114.90230560302734,53.73263168334961,62.58710479736328,92.59432220458984,112.81989288330078,47.42353057861328,92.9103012084961,39.143577575683594,54.7239990234375,33.68597412109375,,19.882080078125,32.45956039428711,64.98278045654297,26.50640296936035
2016-01-14,1921.8399658203125,99.98536682128906,142.7490997314453,102.35556030273438,126.08646392822266,98.53868865966797,47.749725341796875,70.53631591796875,51.639862060546875,81.97346496582031,91.4095230102539,63.69309616088867,82.65805053710938,73.06999969482422,22.814966201782227,57.15107345581055,115.8708724975586,54.72190475463867,62.834632873535156,93.82262420654297,114.82059478759766,48.134803771972656,93.5046615600586,40.0244255065918,54.472625732421875,33.710113525390625,,19.930570602416992,32.9889030456543,66.55998992919922,27.195850372314453
2016-01-15,1880.3299560546875,98.64032745361328,137.63671875,102.02184295654297,124.55522918701172,97.32195281982422,45.84368896484375,68.6534423828125,50.271202087402344,80.74474334716797,89.80313873291016,62.35169982910156,81.07826232910156,70.86000061035156,22.267059326171875,56.80794143676758,112.66918182373047,53.74131393432617,61.86921691894531,91.78958129882812,112.79552459716797,47.175411224365234,88.58931732177734,39.51445007324219,53.58818435668945,33.40424728393555,,19.09003257751465,32.665409088134766,64.98278045654297,24.720478057861328
