Date,MARKET,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU
2016-01-04,178.05128479003906,70.95805358886719,41.67799377441406,44.923927307128906,16.641149520874023,63.196533203125,46.08018493652344,37.34959411621094,24.226951599121094,38.70635986328125,34.7180061340332
2016-01-05,178.35247802734375,70.86568450927734,41.94554138183594,45.09528350830078,16.70523452758789,63.50029754638672,46.20351791381836,37.33211898803711,24.961074829101562,38.60564041137695,34.96719741821289
2016-01-06,176.10267639160156,70.17292785644531,41.803409576416016,43.359405517578125,16.448888778686523,62.982078552246094,45.48985290527344,36.35337448120117,24.720081329345703,38.12948226928711,34.902889251708984
2016-01-07,171.877685546875,68.73196411132812,41.30177307128906,42.30150604248047,15.986043930053711,61.70437240600586,44.256351470947266,35.36588668823242,24.266721725463867,37.003177642822266,34.669776916503906
2016-01-08,169.9910430908203,67.99299621582031,40.984066009521484,41.75764846801758,15.736817359924316,60.775150299072266,43.80699920654297,35.00759506225586,23.948572158813477,36.71015548706055,34.65370178222656
2016-01-11,170.15936279296875,68.52874755859375,41.368648529052734,40.8636360168457,15.758177757263184,60.051414489746094,43.83344650268555,34.413360595703125,24.091737747192383,36.94823455810547,34.83858108520508
2016-01-12,171.5322265625,69.28617858886719,41.594390869140625,40.960487365722656,15.87923526763916,60.819828033447266,44.18586349487305,34.465789794921875,23.829267501831055,37.38777160644531,34.701927185058594
2016-01-13,167.2541046142578,66.94923400878906,40.83356857299805,39.97708511352539,15.466231346130371,59.01498031616211,43.11976623535156,33.670562744140625,23.58269691467285,36.38051223754883,34.685855865478516
2016-01-14,169.99990844726562,67.4295425415039,41.0258674621582,41.69804763793945,15.601520538330078,60.596466064453125,43.63079071044922,34.12497329711914,23.66223907470703,37.06726837158203,35.20834732055664
2016-01-15,166.3506317138672,66.04402923583984,40.38208770751953,40.49112319946289,15.252605438232422,59.747657775878906,42.8642578125,33.42587661743164,23.264554977416992,36.02338409423828,34.89484786987305
2016-01-19,166.5720977783203,66.29339599609375,40.86701202392578,39.619468688964844,15.2454833984375,59.738712310791016,42.85544204711914,33.0151481628418,23.423627853393555,36.06001663208008,35.41735076904297
2016-01-20,164.4374542236328,65.71147155761719,40.357017517089844,38.56901931762695,14.946414947509766,59.85486602783203,42.30036544799805,32.77046203613281,22.795286178588867,35.77614212036133,34.62154769897461
2016-01-21,165.35862731933594,66.5520248413086,40.5158576965332,39.76847839355469,14.882332801818848,59.6761474609375,42.48538589477539,33.0588493347168,22.970264434814453,35.97759246826172,34.589385986328125
2016-01-22,168.75108337402344,67.71586608886719,41.20981216430664,41.526695251464844,15.152918815612793,60.623252868652344,42.85544204711914,33.653079986572266,23.447490692138672,36.97571563720703,35.20834732055664
2016-01-25,166.20013427734375,66.93998718261719,40.84193801879883,39.58967971801758,14.846724510192871,60.06037139892578,42.3267936706543,32.57820129394531,23.447490692138672,36.545326232910156,34.91092300415039
2016-01-26,168.46759033203125,67.91909790039062,41.21815490722656,41.0871467590332,15.095951080322266,60.516029357910156,43.12856674194336,33.13750457763672,23.655874252319336,36.90245056152344,35.15208053588867
2016-01-27,166.63414001464844,66.85684204101562,41.17636489868164,40.89344024658203,15.038981437683105,59.828060150146484,42.64399337768555,32.875335693359375,23.447490692138672,36.14242935180664,35.23247528076172
2016-01-28,167.5021209716797,67.71586608886719,41.594390869140625,42.137596130371094,15.046102523803711,58.43421173095703,42.89068603515625,32.92776107788086,23.192968368530273,36.609432220458984,35.7951545715332
2016-01-29,171.58538818359375,68.454833984375,42.438812255859375,43.36685562133789,15.466231346130371,59.39023208618164,44.04489517211914,33.88029861450195,23.216833114624023,37.76320266723633,36.510581970214844
2016-02-01,171.5233917236328,68.8705062866211,42.58095169067383,42.64419937133789,15.402144432067871,59.47958755493164,43.93915939331055,34.020111083984375,23.709959030151367,37.90055465698242,36.85622787475586
2016-02-02,168.43212890625,67.53115844726562,42.037506103515625,41.22124481201172,14.974897384643555,58.62183380126953,43.05809020996094,33.792903900146484,23.40772247314453,37.222938537597656,37.016998291015625
2016-02-03,169.44189453125,67.35565185546875,41.94554138183594,42.68891143798828,14.989137649536133,59.00603485107422,43.7541389465332,34.928955078125,23.431575775146484,37.17715835571289,37.475196838378906
2016-02-04,169.70761108398438,66.96770477294922,41.560943603515625,42.66655349731445,15.117313385009766,58.68438720703125,44.511871337890625,35.898963928222656,23.57236099243164,37.213783264160156,37.31442642211914
2016-02-05,166.47462463378906,64.80625915527344,41.49406051635742,41.67570114135742,14.917930603027344,57.54072189331055,44.08893966674805,35.48823165893555,23.14365577697754,36.169898986816406,37.43500518798828
2016-02-08,164.2336883544922,63.5500373840332,41.38538360595703,41.45964813232422,14.540534973144531,56.75444412231445,43.71889114379883,34.55318069458008,21.917194366455078,35.64794158935547,37.30637741088867
2016-02-09,164.2425994873047,63.44841766357422,41.661285400390625,40.46133041381836,14.519169807434082,57.17439270019531,43.98321533203125,34.98138427734375,21.745397567749023,35.483131408691406,37.43500518798828
2016-02-10,164.1009063720703,63.33759689331055,41.611122131347656,40.29743194580078,14.440842628479004,57.68367385864258,43.7541389465332,34.649314880371094,22.206716537475586,35.538063049316406,37.39480209350586
2016-02-11,161.96624755859375,63.30064392089844,41.27668762207031,40.12607955932617,13.999359130859375,56.75444412231445,42.89949417114258,33.89776611328125,21.64995765686035,35.46481704711914,36.73564910888672
2016-02-12,165.3054962158203,64.4644775390625,41.861934661865234,41.183990478515625,14.590381622314453,57.513919830322266,43.76295471191406,34.90272903442383,21.864704132080078,35.95928955078125,36.62311553955078
