Date,MARKET,AAPL,CSCO,IBM,AMZN
2016-01-04,178.0513153076172,24.1514949798584,21.34494400024414,95.96856689453125,31.84950065612793
2016-01-05,178.35240173339844,23.546274185180664,21.247962951660156,95.89798736572266,31.68950080871582
2016-01-06,176.1026611328125,23.08548355102539,21.021663665771484,95.41796875,31.63249969482422
2016-01-07,171.87771606445312,22.111167907714844,20.5367374420166,93.78731536865234,30.39699935913086
2016-01-08,169.9910888671875,22.228090286254883,20.02756118774414,92.91905212402344,30.352500915527344
2016-01-11,170.15933227539062,22.58800506591797,20.4235897064209,94.04850769042969,30.886999130249023
2016-01-12,171.5322723388672,22.915834426879883,20.48824119567871,93.81556701660156,30.894500732421875
2016-01-13,167.25411987304688,22.326663970947266,19.882081985473633,92.59432983398438,29.090499877929688
2016-01-14,169.99989318847656,22.81496810913086,19.930572509765625,93.8226089477539,29.649999618530273
2016-01-15,166.3506317138672,22.267059326171875,19.090028762817383,91.78958129882812,28.509000778198242
2016-01-19,166.57208251953125,22.159318923950195,19.275920867919922,90.43423461914062,28.724000930786133
2016-01-20,164.43748474121094,22.18911361694336,18.508119583129883,86.0223159790039,28.588499069213867
2016-01-21,165.35862731933594,22.0767822265625,18.508119583129883,86.76351165771484,28.750999450683594
2016-01-22,168.75099182128906,23.25054168701172,18.88797950744629,86.47409057617188,29.819000244140625
2016-01-25,166.20008850097656,22.796632766723633,18.726341247558594,86.17760467529297,29.826499938964844
2016-01-26,168.46755981445312,22.922714233398438,19.170852661132812,86.53761291503906,30.0625
2016-01-27,166.63412475585938,21.416542053222656,18.936471939086914,85.3869857788086,29.167499542236328
2016-01-28,167.50209045410156,21.570138931274414,18.677839279174805,86.27642059326172,31.767499923706055
2016-01-29,171.58544921875,22.315202713012695,19.227428436279297,88.09060668945312,29.350000381469727
2016-02-01,171.52340698242188,22.10658836364746,18.976879119873047,88.11885070800781,28.74049949645996
2016-02-02,168.43218994140625,21.6595516204834,18.451541900634766,86.7846908569336,27.604999542236328
2016-02-03,169.44189453125,22.088245391845703,18.669757843017578,88.04121398925781,26.553499221801758
2016-02-04,169.70762634277344,22.265722274780273,19.025375366210938,90.10954284667969,26.812999725341797
2016-02-05,166.47463989257812,21.671049118041992,18.50003433227539,90.75897216796875,25.10650062561035
2016-02-08,164.2337188720703,21.899240493774414,18.532360076904297,90.55217742919922,24.405000686645508
2016-02-09,164.2426300048828,21.89463233947754,18.30606460571289,88.47698211669922,24.103500366210938
2016-02-10,164.1009063720703,21.72867774963379,18.192913055419922,85.71007537841797,24.52400016784668
2016-02-11,161.9662322998047,21.597291946411133,19.946735382080078,84.04135131835938,25.19099998474121
2016-02-12,165.30552673339844,21.66413688659668,20.29427719116211,86.31621551513672,25.354000091552734
2016-02-16,168.09555053710938,22.274944305419922,20.88426399230957,87.52851104736328,26.05500030517578
2016-02-17,170.84136962890625,22.616079330444336,21.385358810424805,89.92460632324219,26.704999923706055
2016-02-18,170.1416015625,22.187358856201172,21.361112594604492,94.45292663574219,26.25
2016-02-19,170.06190490722656,22.136646270751953,21.458093643188477,94.90218353271484,26.7450008392334
2016-02-22,172.5242462158203,22.330259323120117,21.522756576538086,95.39424896240234,27.975000381469727
2016-02-23,170.3453369140625,21.825475692749023,21.110567092895508,94.41726684570312,27.64699935913086
2016-02-24,171.12481689453125,22.15047836303711,21.272205352783203,94.7025146484375,27.70199966430664
2016-02-25,173.1973876953125,22.3026065826416,21.49850845336914,95.91482543945312,27.75749969482422
2016-02-26,172.79885864257812,22.337181091308594,21.34494400024414,94.1534194946289,27.761499404907227
2016-02-29,171.4436492919922,22.286468505859375,21.159059524536133,93.44029998779297,27.625999450683594
2016-03-01,175.4737548828125,23.171566009521484,21.684396743774414,95.82211303710938,28.95199966430664
2016-03-02,176.2620849609375,23.22227668762207,21.74097442626953,97.19844818115234,29.010499954223633
2016-03-03,176.9529571533203,23.395151138305664,21.71673011779785,98.26812744140625,28.874500274658203
2016-03-04,177.52865600585938,23.743192672729492,21.6601505279541,98.26812744140625,28.756999969482422
2016-03-07,177.67044067382812,23.48042869567871,21.934946060180664,99.94397735595703,28.139999389648438
2016-03-08,175.73060607910156,23.28681182861328,21.862207412719727,99.17381286621094,28.01300048828125
2016-03-09,176.59864807128906,23.30755615234375,22.3148136138916,100.12938690185547,27.973499298095703
2016-03-10,176.7403564453125,23.319082260131836,22.1289119720459,99.97246551513672,27.946500778198242
2016-03-11,179.59246826171875,23.570322036743164,22.516862869262695,101.51995849609375,28.480499267578125
2016-03-14,179.36215209960938,23.630252838134766,22.387544631958008,101.81947326660156,28.668500900268555
2016-03-15,179.0698699951172,24.10506820678711,22.355220794677734,101.94781494140625,28.85099983215332
2016-03-16,180.10617065429688,24.425457000732422,22.533021926879883,103.25284576416016,28.713499069213867
2016-03-17,181.248779296875,24.386272430419922,22.783571243286133,104.85736083984375,27.972000122070312
2016-03-18,181.9610595703125,24.413930892944336,22.896717071533203,104.89301300048828,27.604000091552734
2016-03-21,182.21922302246094,24.411624908447266,22.783571243286133,105.99122619628906,27.698999404907227
2016-03-22,182.1212921142578,24.59832000732422,22.856311798095703,105.61329650878906,28.02400016784668
2016-03-23,180.91934204101562,24.46233558654785,22.49261474609375,103.68785095214844,28.48150062561035
2016-03-24,180.8393096923828,24.356306076049805,22.59767723083496,105.50629425048828,29.147499084472656
2016-03-28,180.94610595703125,24.245668411254883,22.5491886138916,105.82722473144531,28.993499755859375
2016-03-29,182.6198272705078,24.819604873657227,22.710830688476562,106.49044799804688,29.69300079345703
2016-03-30,183.421142578125,25.252927780151367,23.00179100036621,105.8343505859375,29.934499740600586
